# Repository directory tree
# Generated UTC: 2026-05-20T10:32:02.2218664Z
# Contains: directories only. Machine-readable equivalent: dir_tree.json

.
├── .aide/
│   ├── adapters/
│   │   └── templates/
│   ├── cache/
│   ├── changelog/
│   │   └── templates/
│   ├── commands/
│   ├── context/
│   ├── controller/
│   ├── evals/
│   │   ├── golden-tasks/
│   │   │   ├── adapter-managed-section-determinism/
│   │   │   ├── branch_role_detection_golden/
│   │   │   ├── changelog_json_shape_golden/
│   │   │   ├── changelog_preview_golden/
│   │   │   ├── commit_message_standard_golden/
│   │   │   ├── compact-task-packet-required-sections/
│   │   │   ├── context-packet-no-full-repo-dump/
│   │   │   ├── docs_consistency_report_golden/
│   │   │   ├── drop_candidate_not_delete_approval_golden/
│   │   │   ├── export_pack_commit_policy_inclusion_golden/
│   │   │   ├── export_pack_excludes_source_branch_state_golden/
│   │   │   ├── export_pack_git_policy_inclusion_golden/
│   │   │   ├── export_pack_task_recovery_inclusion_golden/
│   │   │   ├── file_classification_policy_golden/
│   │   │   ├── file_quality_ledger_schema_golden/
│   │   │   ├── file_quality_policy_golden/
│   │   │   ├── fixture_import_governance_commands_golden/
│   │   │   ├── git_helper_policy_golden/
│   │   │   ├── git_land_plan_golden/
│   │   │   ├── git_live_repo_no_mutation_golden/
│   │   │   ├── git_promote_plan_golden/
│   │   │   ├── git_prune_guard_golden/
│   │   │   ├── git_workflow_policy_golden/
│   │   │   ├── github_ci_advisory_golden/
│   │   │   ├── github_export_inclusion_golden/
│   │   │   ├── github_protection_policy_golden/
│   │   │   ├── github_release_asset_schema_golden/
│   │   │   ├── github_release_assets_have_checksums_golden/
│   │   │   ├── github_release_checklist_golden/
│   │   │   ├── github_release_draft_policy_golden/
│   │   │   ├── github_release_draft_schema_golden/
│   │   │   ├── github_release_no_publish_golden/
│   │   │   ├── github_release_upload_plan_golden/
│   │   │   ├── github_report_only_golden/
│   │   │   ├── install_conflict_report_schema_golden/
│   │   │   ├── install_no_apply_golden/
│   │   │   ├── install_no_source_state_leak_golden/
│   │   │   ├── install_ownership_ledger_schema_golden/
│   │   │   ├── install_plan_schema_golden/
│   │   │   ├── install_policy_golden/
│   │   │   ├── install_preservation_policy_golden/
│   │   │   ├── install_preserves_target_state_golden/
│   │   │   ├── intent_compile_destructive_prompt_golden/
│   │   │   ├── intent_compile_git_prompt_golden/
